poi_id,category_id
12455663,67
25430600,132
20888254,180
16770255,63
12945904,56
24826474,118
26320378,192
34056606,137
19102846,124
26345967,48
25295190,48
27979964,48
32851487,193
13961526,194
24994173,48
15746074,72
1977231,149
12585051,195
14440775,48
24102260,145
34335309,56
7948289,126
25310391,48
17838756,116
2622636,130
23198719,124
33249100,48
15106363,118
28879585,28
6963268,56
15197318,56
18509987,131
2424560,196
6372027,197
33243717,198
33243717,122
5498786,149
7075819,150
21254427,48
25130681,126
33368818,184
25312593,63
12409628,199
32912733,48
33180386,118
10024752,146
4752380,149
27127577,200
20342052,199
26670437,56
3319960,48
11964774,48
23812095,56
24998497,124
27523746,48
8627400,119
12851481,76
33989524,48
33984863,56
17422380,63
26260077,48
28501591,201
33879377,48
33000429,48
12906805,78
24037055,48
15224749,135
32914137,202
27994790,48
27751446,203
6508927,78
27687121,48
10791855,56
6439796,127
7266967,48
27973731,87
33131266,48
25370585,204
17853334,205
19104967,168
19773589,140
19773589,206
34244672,207
34244672,122
17582591,208
27120129,48
23963250,48
15667291,149
24100620,69
33369585,48
9882491,96
29037205,48
34469716,48
29358232,209
27497551,48
32904350,124
24992593,48
19620493,210
24967809,116
33369597,48
16694960,48
14947946,72
33117442,48
33968282,56
11622536,118
13225175,72
33056335,130
13358373,72
29616717,184
27730319,56
6890386,56
26660834,48
27687827,48
15275858,211
12559538,118
25576930,72
27946064,48
25559891,212
25804904,48
24081716,72
20141060,48
26694543,108
33261436,48
19492961,69
33323508,207
33323508,213
27954461,63
27572418,214
27572418,215
7141991,56
23955710,131
33061937,67
12924148,72
27983269,48
10065772,156
27168007,48
27826290,48
13837663,56
32840761,48
25076525,48
17695818,72
33995103,184
17591962,216
17591962,154
19176251,124
14216965,69
33318501,48
31599667,204
14790330,56
8854959,48
25557384,217
17430860,205
3700540,72
17464318,218
28099091,56
27765679,56
6983400,92
34360873,219
32812885,48
14074152,144
13119384,220
17810243,124
14000258,56
15334746,221
25378453,48
19736333,63
21141915,56
24932763,48
11443715,48
27979967,72
12140418,48
6563470,48
21055483,48
25806494,48
16913859,56
28029875,48
20318009,222
20318009,215
26756226,48
34322878,48
25075179,48
26353016,114
26518214,63
33968734,72
10794875,56
21500249,223
6725553,149
4773063,170
33300934,192
28108972,144
34239536,224
26339948,225
11548838,77
33320914,109
15593990,226
15113071,72
34167009,48
27322712,48
11426865,227
33250865,48
28007424,48
33712421,48
27931711,48
19116131,73
32701502,108
33355300,124
4706254,48
25325345,56
12460676,228
27482436,48
14000167,48
8114866,229
33270948,230
12314832,113
