user_id,origin_id
1696,460.0
1697,461.0
1698,20.0
1700,462.0
1701,2.0
1702,463.0
1703,1.0
1704,1.0
1707,1.0
1708,1.0
1709,1.0
1710,2.0
1712,42.0
1714,1.0
1715,464.0
1716,465.0
1718,466.0
1719,56.0
1720,467.0
1721,9.0
1722,209.0
1723,256.0
1724,468.0
1726,96.0
1727,469.0
1728,1.0
1729,11.0
1731,75.0
1732,470.0
1733,471.0
1734,472.0
1735,380.0
1736,1.0
1737,473.0
1740,92.0
1742,474.0
1743,475.0
1744,476.0
1745,477.0
1746,478.0
1748,151.0
1749,308.0
1751,479.0
1752,480.0
1755,481.0
1757,176.0
1758,482.0
1759,62.0
1760,308.0
1762,62.0
1764,483.0
1765,484.0
1766,485.0
1768,1.0
1769,56.0
1770,486.0
1774,487.0
1775,42.0
1776,488.0
1779,9.0
1780,489.0
1781,70.0
1782,1.0
1783,490.0
1784,491.0
1786,9.0
1787,492.0
1788,55.0
1789,41.0
1790,493.0
1791,9.0
1792,42.0
1793,56.0
1794,494.0
1795,92.0
1796,272.0
1797,214.0
1798,93.0
1799,329.0
1800,345.0
1802,495.0
1803,64.0
1804,2.0
1805,496.0
1807,42.0
1808,42.0
1809,497.0
1810,64.0
1813,498.0
1814,1.0
1815,499.0
1816,500.0
1817,96.0
1818,501.0
1822,502.0
1823,1.0
1824,413.0
1825,75.0
1826,503.0
1827,504.0
1828,345.0
1830,200.0
1832,505.0
1833,188.0
1834,506.0
1839,64.0
1840,270.0
1841,62.0
1842,213.0
1843,1.0
1846,1.0
1848,9.0
1849,469.0
1851,507.0
1852,508.0
1853,200.0
1854,509.0
1856,9.0
1857,510.0
1858,368.0
1860,511.0
1861,96.0
1862,1.0
1863,140.0
1864,136.0
1867,512.0
1869,64.0
1870,1.0
1871,110.0
1876,1.0
1877,31.0
1880,513.0
1881,64.0
1885,9.0
1886,514.0
1888,515.0
1889,516.0
1891,517.0
1892,1.0
1893,1.0
1894,1.0
1895,1.0
1897,2.0
1899,1.0
1900,518.0
1901,519.0
1902,88.0
1907,520.0
1908,234.0
1909,521.0
1911,394.0
1912,522.0
1915,1.0
1916,27.0
1917,207.0
1918,523.0
1920,524.0
1921,1.0
1922,525.0
1924,42.0
1925,228.0
1928,2.0
1929,1.0
1930,1.0
1931,1.0
1934,78.0
1935,526.0
1936,64.0
1937,527.0
1938,528.0
1939,529.0
1941,1.0
1942,34.0
1944,64.0
1945,70.0
1946,530.0
1947,1.0
1948,10.0
1949,531.0
1950,532.0
1951,533.0
1952,78.0
1953,2.0
1955,534.0
1956,535.0
1957,56.0
1958,536.0
1959,1.0
1962,1.0
1963,537.0
1964,93.0
1965,169.0
1966,48.0
1967,538.0
1968,113.0
1969,96.0
1970,204.0
1971,427.0
1972,64.0
1973,9.0
1975,2.0
1976,2.0
1977,2.0
1978,41.0
1979,1.0
1980,1.0
1981,2.0
1982,1.0
1984,20.0
1985,1.0
1986,1.0
1987,365.0
1988,539.0
1991,1.0
1992,1.0
1993,540.0
1994,541.0
1995,542.0
1996,200.0
1998,1.0
1999,1.0
2001,1.0
2003,1.0
2004,1.0
2007,207.0
2008,543.0
2009,188.0
2010,1.0
2012,544.0
2013,1.0
2015,545.0
2016,11.0
2017,546.0
2018,70.0
2019,9.0
2021,1.0
2022,1.0
2023,1.0
2026,547.0
2048,2.0
2061,214.0
2072,1.0
2073,1.0
2074,1.0
2075,548.0
2076,1.0
2084,42.0
2086,549.0
2087,550.0
2089,62.0
2090,182.0
2092,188.0
2093,336.0
2094,42.0
2096,2.0
2098,1.0
2100,268.0
2101,551.0
2102,346.0
2105,473.0
2106,552.0
2107,553.0
2110,280.0
2112,42.0
2113,554.0
2114,9.0
2115,251.0
2116,555.0
2121,1.0
2122,200.0
2123,556.0
2124,557.0
2125,558.0
2127,559.0
2128,269.0
2129,96.0
2130,41.0
2131,144.0
2132,336.0
2136,1.0
2142,14.0
2157,1.0
2159,1.0
2162,64.0
2163,64.0
2166,560.0
2168,1.0
2169,561.0
2171,4.0
2173,1.0
2174,1.0
2176,1.0
2177,1.0
2178,562.0
2179,563.0
2180,564.0
2183,88.0
2184,1.0
2185,565.0
2187,566.0
2190,567.0
2192,568.0
2196,1.0
2198,88.0
2199,2.0
2200,1.0
2201,340.0
2202,569.0
2203,271.0
2204,570.0
2205,9.0
2206,473.0
2207,204.0
