poi_id,region_id
31225528,1
12874672,2
24049653,1
27503352,2
32808463,10
28262224,1
17607265,2
32863022,1
33287310,1
19565105,1
28662395,1
25327079,2
26447728,3
28035599,1
9721849,1
6796019,1
25250993,2
19111986,1
24886282,1
17823008,2
25290803,3
17547732,1
1987511,1
27670851,2
12968900,2
20254305,1
31594321,1
28027705,10
25354391,1
27921094,1
34336765,1
20543015,1
2317850,2
34277137,2
34376326,8
34369886,6
34259287,2
34385087,1
27517807,1
16828808,1
34365134,1
21293270,1
15667287,2
11437097,2
27730582,2
34289823,1
27109573,1
33883309,1
34031769,1
33950762,1
27414257,3
34093726,1
13113361,1
11805666,1
11708077,1
27155056,19
33004497,1
34226066,1
34023635,1
27135890,1
34096259,10
17282143,1
17337852,1
33103550,1
26355295,1
33994009,2
6774393,3
32889688,8
15122337,1
10801866,1
7618553,1
23920420,3
32871555,1
12530053,1
33441904,1
12874736,2
13335965,1
26694569,10
8602636,1
32704739,1
33503487,1
7937131,1
32793965,12
2494890,1
33675000,1
25174905,1
20385151,1
33971060,1
26361530,1
33077866,1
13873247,4
16827815,1
33332069,1
25454406,1
33118577,6
32761755,1
19408025,2
17558611,3
13195619,1
17844507,1
33110487,1
8071799,1
17582635,15
5113272,1
28665841,4
17666874,1
25564935,1
27540805,1
25896165,1
23966734,2
26554523,2
29014244,1
24190446,2
33032828,20
23956540,2
33110501,10
17415212,2
18970135,1
33057125,1
23544470,3
12613794,1
2433197,1
32742787,2
33236865,10
10165830,1
27107162,2
32797386,2
4049421,1
27921250,1
19056295,2
7950997,1
9986381,2
27415211,1
26469243,2
8385963,2
20912843,1
25089830,1
26106847,1
17483986,2
8503754,1
19086070,1
24989094,6
33988252,2
11124045,1
31085963,2
28046392,1
28653969,1
8532676,6
24997204,1
31455558,1
24834206,1
26651228,10
6523110,2
15227546,1
33024489,1
14067894,11
28446534,8
33118137,1
4187579,1
34002827,1
34021055,2
4609087,1
7659428,1
28931647,3
14187194,2
25401012,1
16656504,1
27129676,2
33177454,4
1964479,17
4235303,1
33114837,1
11760584,2
33242184,3
33870697,2
15296019,1
33234943,1
11816951,2
26866574,1
33308814,1
33422352,2
32822135,10
28155446,1
1818362,3
33299370,2
33400530,4
32848731,1
32998021,11
9882201,1
33329681,1
26161059,1
32974324,3
32984658,1
33220715,2
21394058,1
21002524,2
6620563,1
11487920,1
25000171,2
24495424,1
33278897,3
2082354,1
24164802,1
33122378,1
33253996,1
18344212,1
33222041,1
19761721,1
2624562,1
33111686,1
33066095,1
33223928,1
4737694,15
23838153,1
33072357,1
26336495,2
33098186,1
33077183,1
32716121,1
30356818,4
11741470,1
8415862,2
33029989,10
33055690,2
33043601,3
12500777,1
14074123,4
26259726,1
12878922,1
14094708,4
6902487,1
32963110,2
20199962,20
23000709,3
32863289,3
32800829,1
27747582,1
26778199,2
27146902,2
14175795,1
27648501,1
19298477,1
25375419,1
25783455,1
15296091,2
25567337,4
28012711,1
29932034,4
27954839,1
26802780,2
26230267,2
13365886,1
19509369,1
32598743,1
24100894,1
26105973,14
27519815,2
13217248,1
26838998,2
29011451,1
28913245,4
17301432,1
27101366,3
33043641,2
26245242,1
24087490,1
27931789,1
17581560,2
7192950,2
28252666,3
27724589,1
17559281,2
34324178,1
27455780,1
7915234,3
4474246,1
33355229,1
26577423,7
15791798,7
12940185,1
15338603,7
28016783,1
27930171,11
1809062,1
20988203,4
21410013,2
11670703,1
12607031,2
26861541,2
20295967,1
17375520,3
24814826,1
20324176,1
12821591,1
8262980,1
27500879,2
19982426,1
33695759,1
26746402,2
27166057,4
29788062,1
8807637,1
27126292,1
27113381,2
1222235,1
12906682,2
15214121,1
33996522,10
26859177,1
33960254,1
8089368,3
26899566,2
25439649,2
26812267,1
10005982,1
33130106,1
9454760,1
19719401,1
19819022,2
7596205,1
9831882,1
12913033,1
26685602,8
17807027,2
25228618,1
14956555,1
26496208,1
11772175,2
34295376,1
34290639,1
7937872,1
25401445,2
25171653,1
10813344,1
8021652,1
17624006,1
25297225,2
23824538,1
20145724,1
25415797,18
32807817,2
13567666,2
18719480,2
25179484,3
25300311,3
28040137,2
12254061,1
27138749,1
19852187,1
19546696,2
11893943,2
11677684,1
19745724,2
19625594,1
17199315,1
32841549,1
15122395,1
17817078,1
25252780,1
25015784,14
19119983,1
24090867,1
34505617,1
27453068,1
18544295,2
18378709,1
5566638,1
9454285,1
17838710,1
14802289,1
15576751,1
16671042,1
2432358,1
19087115,3
17337862,1
15582779,1
13993341,4
21367628,3
6931525,1
11636268,2
15662231,1
8617827,1
8523263,10
32761853,1
26856619,3
5964048,1
6494447,1
6002546,1
13485044,1
16666055,2
7906302,1
7276713,2
15134987,1
20307209,1
15746305,2
23917792,1
19723152,1
7940439,1
968072,1
5993308,1
3200029,1
25083994,3
13195362,2
14028229,1
17661179,1
2049260,1
26682394,1
33306400,2
26227466,1
26516996,1
25324964,2
25453558,3
33083280,1
34497084,1
11535750,1
31702370,1
33354996,1
33400474,1
34348720,1
28027636,4
28128624,1
34074813,2
32711746,1
33883280,2
33960237,1
11824491,1
34449487,1
19121631,1
27787872,1
26502465,10
34395631,4
34478995,1
34126024,1
34466366,1
30709609,8
34156490,2
34453134,1
23959337,6
14781340,2
26583240,3
34126022,1
34411688,2
34439944,1
33984042,1
28026399,1
33026912,1
34432786,1
34334544,3
34328126,1
34408265,2
34413829,3
34404455,1
34291181,1
27724500,1
34308641,1
34255547,2
26787173,10
14067722,1
34390262,1
33353311,18
12907110,3
34369756,2
24855621,4
34067078,1
25334049,1
15608745,1
25395121,14
33179139,3
26524812,1
34102566,1
34013998,1
34344476,3
27979554,1
34331247,4
33871700,1
34322845,3
34274766,1
25565096,1
30366753,2
26618999,3
26820760,2
31762665,2
34256892,1
25178775,16
27426698,2
28146549,16
32716620,2
33086189,1
25245942,2
29330172,3
32983569,2
34242790,3
11853028,1
27698479,2
25068019,3
33674630,1
28559269,2
34212476,1
33036153,2
34127343,2
13476950,2
34207696,3
17695826,1
33949427,1
34162550,1
33020184,2
27504296,6
34121695,2
34105409,1
26469192,1
33877232,1
14109000,1
21319667,1
34044101,1
27995802,1
28863357,1
25340352,1
34105185,1
34091559,1
30017327,2
30211690,1
24066153,11
28097622,1
28161684,1
33045939,3
34014292,1
33444043,1
34057060,1
27491134,2
34039426,2
34039446,1
33986717,1
15074352,2
6540835,1
34000513,1
26399360,2
11908024,1
33995169,4
33995138,1
11548216,2
33861333,1
6963235,1
25354962,2
33987507,1
33973175,1
33178389,4
33972058,1
33963319,1
33677544,1
28121321,1
15709055,2
15179830,1
13859736,1
6032128,1
33397737,2
28287680,1
8814986,1
33733987,2
12480163,2
33001024,1
33365862,1
27959844,1
33593284,2
33442100,2
33411721,1
28459815,4
33417447,5
33042237,1
7988758,1
32807935,2
33403060,2
33331881,19
33393854,1
33373359,1
33334188,1
33234946,1
33359664,2
33361456,1
33360997,1
20233366,6
32814488,3
33105245,1
27730936,2
33323085,1
28992884,1
28125536,1
33316084,1
33285166,3
33276421,2
19413589,1
33222097,1
33261686,2
23683468,1
25442926,1
33190581,3
33257676,1
28991831,1
33234929,1
33245855,1
33230363,1
27745969,1
33223983,3
18898175,1
27964083,1
33131194,1
12480148,1
33138818,2
32727754,2
33102394,1
11726964,1
21007691,2
33077606,1
25458498,1
8263526,3
26857324,1
27834437,1
20889591,4
26854882,2
32992796,2
19476699,1
11950118,1
32992800,1
32983873,10
28655813,1
11733420,1
28311584,1
17736259,1
32846251,1
19481226,6
26559105,1
18218424,3
32890346,1
19449206,1
29037198,2
32900614,4
33022964,1
12387673,1
19685787,2
28222073,1
15681062,1
27815775,1
32824624,2
32981970,1
32824668,4
32824533,4
32807692,4
28245468,10
32791808,3
32788720,3
5996885,2
32784255,1
9806485,1
28863384,10
19459009,1
1809060,1
32716605,3
26639292,1
32720718,1
32711163,8
28045765,10
32682400,10
31396257,1
28653245,1
32698405,7
27169323,1
31720118,1
29994002,1
31454436,1
30249825,1
29037147,1
11948078,1
30118358,1
19116110,1
19255369,3
25149604,3
27721668,1
26364719,2
19103310,1
17826430,3
28029571,1
27931447,1
27715536,2
17762532,2
17642713,1
28145777,6
27508226,2
6696563,2
26868008,4
8616822,1
17653657,1
27159278,1
8471366,1
21143949,1
28035364,1
19106143,1
6440796,2
25428139,1
28046665,1
17497728,1
28038837,1
6651155,1
17722145,1
27962134,2
12116949,1
27952443,1
27718784,2
26819506,1
27948908,1
15292453,1
8380718,1
27952475,4
12473799,2
8555099,1
33043634,2
5599650,2
27921655,8
27917155,1
26023536,2
26268028,6
27739471,1
33861244,1
27733187,2
27577544,1
26467466,1
15338329,1
16797716,10
27539856,1
25130288,1
25321348,1
27622651,2
11488943,1
25314663,16
26325102,2
26325096,1
27509662,1
5961553,2
25775486,1
24920415,1
6280983,2
27456777,1
15240048,1
15353882,1
7915242,2
25020387,2
12666309,1
11741456,1
25233773,1
27138764,3
19630008,3
27118347,1
26086781,10
26875831,11
13354701,1
26858953,2
26792268,2
27004241,2
26986908,1
23903417,1
26894148,2
15327280,2
14140769,1
26862100,4
